person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
27,32000,RENT,0.0,DEBTCONSOLIDATION,B,15000,,1,0.47,N,7
25,39996,MORTGAGE,7.0,VENTURE,B,3200,,0,0.08,N,4
25,150000,MORTGAGE,4.0,EDUCATION,A,6000,7.66,0,0.04,N,3
35,44000,RENT,3.0,PERSONAL,C,16000,13.99,1,0.36,Y,8
26,43000,RENT,5.0,MEDICAL,A,7800,7.88,0,0.18,N,2
37,32400,OWN,0.0,EDUCATION,D,8000,15.99,0,0.25,N,12
30,61800,MORTGAGE,6.0,DEBTCONSOLIDATION,B,20000,11.36,0,0.32,N,8
22,39000,RENT,1.0,HOMEIMPROVEMENT,D,5600,14.96,1,0.14,N,4
23,20004,MORTGAGE,2.0,EDUCATION,E,2500,16.82,0,0.12,Y,2
29,145000,MORTGAGE,0.0,VENTURE,B,25000,10.08,0,0.17,N,8
27,90000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,12000,7.29,0,0.13,N,5
31,26010,MORTGAGE,2.0,HOMEIMPROVEMENT,B,6500,9.99,0,0.25,N,9
47,109000,OWN,15.0,VENTURE,A,16000,7.05,0,0.15,N,14
34,40000,OWN,7.0,MEDICAL,A,4200,6.76,0,0.1,N,7
38,36156,MORTGAGE,1.0,HOMEIMPROVEMENT,B,8500,12.21,0,0.24,N,16
26,71000,RENT,5.0,MEDICAL,B,13500,12.69,0,0.19,N,3
24,125000,RENT,8.0,VENTURE,B,16800,12.42,0,0.13,N,4
30,60000,MORTGAGE,6.0,EDUCATION,D,15000,15.31,0,0.25,Y,9
22,53000,MORTGAGE,6.0,VENTURE,E,8000,16.82,0,0.15,N,4
25,135000,RENT,9.0,VENTURE,B,8000,,0,0.06,N,3
37,42000,MORTGAGE,,DEBTCONSOLIDATION,A,3000,6.17,1,0.07,N,13
33,49000,RENT,2.0,VENTURE,B,6000,10.99,0,0.12,N,6
25,76800,MORTGAGE,5.0,PERSONAL,C,20000,,0,0.26,Y,2
27,124100,RENT,3.0,MEDICAL,C,10175,12.99,1,0.07,N,6
22,69000,RENT,5.0,MEDICAL,B,8650,11.49,0,0.13,N,3
